para_name,para_value,torque_down,torque_up,x[0],x[1],x[2],x[3],x[4],x[5],x[6]
beamALength,12.0,7.326704935618346,0.08294002745831565,12.0,25,30,1.0,1.6,2.0,1.0
beamALength,15.11111111111111,10.269912591106552,-2.4586629484877736,15.11111111111111,25,30,1.0,1.6,2.0,1.0
beamALength,18.22222222222222,13.627159577749836,-5.3550671499628315,18.22222222222222,25,30,1.0,1.6,2.0,1.0
beamALength,21.333333333333336,17.220234232308556,-8.126545257696876,21.333333333333336,25,30,1.0,1.6,2.0,1.0
beamALength,24.444444444444443,20.890124787785492,-10.322226528524457,24.444444444444443,25,30,1.0,1.6,2.0,1.0
beamALength,27.555555555555557,24.51854174856865,-12.060631787612614,27.555555555555557,25,30,1.0,1.6,2.0,1.0
beamALength,30.666666666666668,28.03207740759555,-13.482715614499936,30.666666666666668,25,30,1.0,1.6,2.0,1.0
beamALength,33.77777777777778,31.393247862730775,-14.509010305619658,33.77777777777778,25,30,1.0,1.6,2.0,1.0
beamALength,36.888888888888886,34.58821892187554,-15.100746548155954,36.888888888888886,25,30,1.0,1.6,2.0,1.0
beamALength,40.0,37.6170670375793,-15.270825777403568,40.0,25,30,1.0,1.6,2.0,1.0
beamCLength,10.0,27.430856475341066,-12.743847669549266,25,10.0,30,1.0,1.6,2.0,1.0
beamCLength,13.333333333333334,25.846644470582884,-12.283521477599843,25,13.333333333333334,30,1.0,1.6,2.0,1.0
beamCLength,16.666666666666668,24.443256173902704,-11.810491541936225,25,16.666666666666668,30,1.0,1.6,2.0,1.0
beamCLength,20.0,23.19052273227208,-11.342531138826542,25,20.0,30,1.0,1.6,2.0,1.0
beamCLength,23.333333333333336,22.06491570813374,-10.882996491473603,25,23.333333333333336,30,1.0,1.6,2.0,1.0
beamCLength,26.666666666666668,21.047699546540386,-10.430365770587866,25,26.666666666666668,30,1.0,1.6,2.0,1.0
beamCLength,30.0,20.123793631127214,-9.980659010542743,25,30.0,30,1.0,1.6,2.0,1.0
beamCLength,33.333333333333336,19.280935014824745,-9.53136291717509,25,33.333333333333336,30,1.0,1.6,2.0,1.0
beamCLength,36.66666666666667,18.508891370926907,-9.082790095264238,25,36.66666666666667,30,1.0,1.6,2.0,1.0
beamCLength,40.0,17.799128595888142,-8.637723299468837,25,40.0,30,1.0,1.6,2.0,1.0
thetaDeg,10.0,9.02935521438135,-1.6966054118901506,25,25,10.0,1.0,1.6,2.0,1.0
thetaDeg,13.333333333333334,11.370198018088773,-2.8620028318286335,25,25,13.333333333333334,1.0,1.6,2.0,1.0
thetaDeg,16.666666666666668,13.597041334854357,-4.1910072573002015,25,25,16.666666666666668,1.0,1.6,2.0,1.0
thetaDeg,20.0,15.718099674457767,-5.657740756742685,25,25,20.0,1.0,1.6,2.0,1.0
thetaDeg,23.333333333333336,17.742788883853528,-7.238316897537099,25,25,23.333333333333336,1.0,1.6,2.0,1.0
thetaDeg,26.666666666666668,19.68117473017894,-8.91104508750404,25,25,26.666666666666668,1.0,1.6,2.0,1.0
thetaDeg,30.0,21.54377141977651,-10.656026921116965,25,25,30.0,1.0,1.6,2.0,1.0
thetaDeg,33.333333333333336,23.340784221670912,-12.455403336514536,25,25,33.333333333333336,1.0,1.6,2.0,1.0
thetaDeg,36.66666666666667,25.081926557082447,-14.293360415658993,25,25,36.66666666666667,1.0,1.6,2.0,1.0
thetaDeg,40.0,26.77609546854387,-16.157045955253082,25,25,40.0,1.0,1.6,2.0,1.0
tendonThickness,0.4,10.72293491189788,-2.9130845986446694,25,25,30,0.4,1.6,2.0,1.0
tendonThickness,0.5777777777777778,14.308815342043147,-6.03146058470386,25,25,30,0.5777777777777778,1.6,2.0,1.0
tendonThickness,0.7555555555555555,17.56133040632008,-8.4830776477494,25,25,30,0.7555555555555555,1.6,2.0,1.0
tendonThickness,0.9333333333333333,20.50913024147225,-10.173349595539126,25,25,30,0.9333333333333333,1.6,2.0,1.0
tendonThickness,1.1111111111111112,23.190401197525592,-11.34325002880223,25,25,30,1.1111111111111112,1.6,2.0,1.0
tendonThickness,1.288888888888889,25.642342282818333,-12.22388072506592,25,25,30,1.288888888888889,1.6,2.0,1.0
tendonThickness,1.4666666666666668,27.89773822152239,-12.88614579827457,25,25,30,1.4666666666666668,1.6,2.0,1.0
