3/5/2025  10:48 AM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	0.00	0.000	0.000
2	0.00	0.040	0.149
3	0.00	0.120	0.199
4	0.00	0.200	0.249
5	0.00	0.260	0.299
6	0.00	0.340	0.349
7	0.00	0.440	0.399
8	0.00	0.520	0.449
9	0.00	0.600	0.499
10	0.00	0.700	0.549
11	0.00	0.780	0.599
12	0.00	0.860	0.649
13	0.00	0.920	0.699
14	0.00	1.000	0.749
15	0.00	1.100	0.799
16	0.00	1.180	0.849
17	0.00	1.260	0.899
18	0.00	1.360	0.949
19	0.00	1.520	1.049
20	0.00	1.620	1.099
21	0.00	1.700	1.149
22	0.00	1.820	1.199
23	0.00	1.860	1.249
24	0.00	1.980	1.299
25	0.00	2.020	1.349
26	0.00	2.100	1.399
27	0.00	2.200	1.449
28	0.00	2.280	1.500
29	0.00	2.380	1.549
30	0.00	2.420	1.599
31	0.00	2.520	1.649
32	0.00	2.600	1.699
33	0.00	2.700	1.749
34	0.02	2.780	1.799
35	0.02	2.860	1.849
36	0.04	2.940	1.900
37	0.04	3.040	1.949
38	0.06	3.120	1.999
39	0.08	3.200	2.049
40	0.08	3.260	2.099
41	0.10	3.360	2.149
42	0.10	3.440	2.199
43	0.12	3.520	2.249
44	0.12	3.600	2.299
45	0.14	3.700	2.349
46	0.14	3.780	2.399
47	0.16	3.860	2.449
48	0.16	3.920	2.499
49	0.18	4.060	2.550
50	0.20	4.100	2.599
51	0.20	4.200	2.649
52	0.22	4.280	2.699
53	0.22	4.360	2.749
54	0.24	4.440	2.799
55	0.24	4.540	2.849
56	0.26	4.620	2.899
57	0.26	4.680	2.949
58	0.28	4.820	2.999
59	0.28	4.860	3.049
60	0.30	4.940	3.100
61	0.30	5.020	3.149
62	0.32	5.100	3.199
63	0.32	5.200	3.249
64	0.34	5.280	3.299
65	0.34	5.340	3.349
66	0.36	5.420	3.399
67	0.36	5.520	3.449
68	0.38	5.700	3.549
69	0.40	5.780	3.599
70	0.42	5.900	3.649
71	0.42	5.940	3.699
72	0.42	6.000	3.749
73	0.44	6.120	3.799
74	0.44	6.180	3.849
75	0.46	6.280	3.899
76	0.46	6.360	3.949
77	0.48	6.440	3.999
78	0.48	6.520	4.049
79	0.50	6.620	4.099
80	0.50	6.700	4.150
81	0.50	6.780	4.199
82	0.52	6.840	4.249
83	0.52	6.940	4.299
84	0.52	7.020	4.349
85	0.54	7.100	4.399
86	0.56	7.220	4.449
87	0.56	7.280	4.499
88	0.56	7.360	4.549
89	0.58	7.440	4.599
90	0.58	7.540	4.649
91	0.60	7.720	4.749
92	0.60	7.780	4.799
93	0.62	7.920	4.849
94	0.62	7.940	4.899
95	0.62	8.020	4.949
96	0.64	8.120	4.999
97	0.64	8.200	5.049
98	0.64	8.280	5.099
99	0.66	8.340	5.149
100	0.66	8.440	5.199
101	0.68	8.580	5.249
102	0.68	8.620	5.299
103	0.68	8.700	5.350
104	0.68	8.780	5.399
105	0.70	8.880	5.449
106	0.70	8.960	5.499
107	0.70	9.040	5.549
108	0.72	9.100	5.599
109	0.72	9.180	5.649
110	0.72	9.280	5.699
111	0.72	9.360	5.749
112	0.74	9.440	5.799
113	0.74	9.520	5.850
114	0.74	9.620	5.899
115	0.74	9.700	5.949
116	0.76	9.760	5.999
117	0.76	9.840	6.049
118	0.76	9.940	6.099
119	0.78	10.020	6.149
120	0.78	10.100	6.199
121	0.78	10.200	6.249
122	0.78	10.280	6.299
123	0.78	10.360	6.349
124	0.78	10.420	6.399
125	0.80	10.540	6.449
126	0.80	10.600	6.499
127	0.80	10.700	6.549
128	0.82	10.780	6.599
129	0.82	10.860	6.649
130	0.82	10.940	6.699
131	0.82	11.040	6.749
132	0.82	11.120	6.799
133	0.82	11.200	6.849
134	0.84	11.260	6.899
135	0.84	11.360	6.949
136	0.84	11.440	6.999
137	0.84	11.520	7.049
138	0.84	11.600	7.099
139	0.84	11.700	7.149
140	0.86	11.780	7.199
141	0.86	11.860	7.249
142	0.86	11.920	7.299
143	0.86	12.020	7.350
144	0.86	12.100	7.399
145	0.86	12.180	7.449
146	0.86	12.280	7.499
147	0.88	12.360	7.549
148	0.88	12.440	7.599
