3/5/2025  10:53 AM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	-0.12	0.000	0.000
2	-0.12	-0.100	0.150
3	-0.14	-0.140	0.200
4	-0.14	-0.240	0.250
5	-0.14	-0.320	0.300
6	-0.14	-0.400	0.350
7	-0.14	-0.480	0.400
8	-0.14	-0.540	0.450
9	-0.14	-0.660	0.500
10	-0.14	-0.720	0.551
11	-0.14	-0.800	0.600
12	-0.16	-0.880	0.650
13	-0.16	-0.980	0.700
14	-0.16	-1.100	0.750
15	-0.16	-1.160	0.800
16	-0.16	-1.240	0.850
17	-0.16	-1.320	0.900
18	-0.16	-1.380	0.950
19	-0.18	-1.480	1.000
20	-0.18	-1.560	1.050
21	-0.18	-1.640	1.100
22	-0.18	-1.720	1.150
23	-0.18	-1.860	1.200
24	-0.18	-1.900	1.250
25	-0.20	-2.000	1.300
26	-0.20	-2.080	1.350
27	-0.20	-2.140	1.400
28	-0.20	-2.220	1.450
29	-0.20	-2.320	1.500
30	-0.20	-2.400	1.550
31	-0.20	-2.480	1.600
32	-0.20	-2.560	1.650
33	-0.20	-2.660	1.700
34	-0.20	-2.740	1.750
35	-0.22	-2.800	1.800
36	-0.22	-2.880	1.850
37	-0.22	-2.980	1.900
38	-0.22	-3.060	1.950
39	-0.22	-3.140	2.000
40	-0.22	-3.220	2.050
41	-0.22	-3.320	2.100
42	-0.22	-3.400	2.150
43	-0.22	-3.460	2.200
44	-0.22	-3.580	2.251
45	-0.24	-3.640	2.300
46	-0.22	-3.740	2.350
47	-0.22	-3.820	2.400
48	-0.24	-3.900	2.450
49	-0.24	-3.980	2.500
50	-0.24	-4.080	2.550
51	-0.24	-4.160	2.600
52	-0.24	-4.240	2.650
53	-0.24	-4.300	2.700
54	-0.24	-4.400	2.750
55	-0.24	-4.480	2.800
56	-0.24	-4.560	2.850
57	-0.24	-4.640	2.900
58	-0.24	-4.740	2.950
59	-0.24	-4.820	3.000
60	-0.24	-4.900	3.050
61	-0.24	-4.960	3.100
62	-0.24	-5.060	3.150
63	-0.24	-5.140	3.200
64	-0.24	-5.220	3.250
65	-0.24	-5.300	3.300
66	-0.24	-5.380	3.351
67	-0.24	-5.480	3.400
68	-0.24	-5.580	3.450
69	-0.24	-5.660	3.500
70	-0.24	-5.760	3.550
71	-0.26	-5.800	3.600
72	-0.26	-5.900	3.650
73	-0.26	-5.980	3.700
74	-0.26	-6.060	3.751
75	-0.26	-6.140	3.800
76	-0.26	-6.240	3.850
77	-0.26	-6.320	3.900
78	-0.26	-6.400	3.950
79	-0.26	-6.460	4.001
80	-0.26	-6.560	4.050
81	-0.26	-6.640	4.100
82	-0.26	-6.720	4.150
83	-0.26	-6.800	4.200
84	-0.26	-6.900	4.250
85	-0.26	-6.980	4.300
86	-0.26	-7.060	4.350
87	-0.26	-7.160	4.400
88	-0.26	-7.280	4.450
89	-0.26	-7.300	4.500
90	-0.26	-7.380	4.550
91	-0.28	-7.480	4.600
92	-0.28	-7.560	4.650
93	-0.28	-7.640	4.700
94	-0.28	-7.740	4.750
95	-0.28	-7.820	4.800
96	-0.28	-7.880	4.850
97	-0.30	-8.000	4.900
98	-0.28	-8.140	4.954
99	-0.30	-8.160	5.000
100	-0.30	-8.220	5.050
101	-0.30	-8.320	5.100
102	-0.30	-8.400	5.150
103	-0.30	-8.480	5.201
104	-0.32	-8.580	5.250
105	-0.32	-8.660	5.300
106	-0.30	-8.720	5.350
107	-0.32	-8.800	5.400
108	-0.30	-8.880	5.450
109	-0.30	-8.980	5.500
110	-0.30	-9.060	5.550
111	-0.30	-9.160	5.600
112	-0.30	-9.240	5.650
113	-0.32	-9.320	5.700
114	-0.32	-9.380	5.751
115	-0.32	-9.480	5.801
116	-0.32	-9.560	5.850
117	-0.32	-9.640	5.900
118	-0.32	-9.720	5.950
119	-0.32	-9.820	6.000
120	-0.32	-9.900	6.050
121	-0.32	-10.000	6.100
122	-0.32	-10.080	6.150
123	-0.32	-10.140	6.200
124	-0.32	-10.220	6.250
125	-0.32	-10.320	6.300
126	-0.32	-10.400	6.350
127	-0.32	-10.480	6.400
128	-0.32	-10.560	6.450
129	-0.32	-10.660	6.500
130	-0.32	-10.740	6.550
131	-0.32	-10.820	6.600
132	-0.32	-10.880	6.650
133	-0.32	-10.980	6.700
134	-0.32	-11.060	6.750
135	-0.30	-11.140	6.801
136	-0.30	-11.220	6.850
137	-0.30	-11.320	6.900
138	-0.30	-11.400	6.950
139	-0.30	-11.480	7.000
140	-0.30	-11.580	7.050
141	-0.32	-11.640	7.100
142	-0.32	-11.720	7.151
143	-0.30	-11.820	7.200
144	-0.30	-11.900	7.250
145	-0.30	-11.980	7.300
146	-0.30	-12.060	7.350
147	-0.30	-12.160	7.400
148	-0.30	-12.240	7.450
149	-0.30	-12.300	7.500
150	-0.30	-12.380	7.550
151	-0.30	-12.480	7.600
152	-0.30	-12.560	7.650
