3/5/2025  6:45 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
12	0.00	4.020	0.649
13	0.02	4.100	0.699
14	0.02	4.200	0.749
15	0.04	4.280	0.799
16	0.04	4.360	0.849
17	0.06	4.440	0.899
18	0.08	4.540	0.949
19	0.08	4.620	0.999
20	0.10	4.680	1.049
21	0.10	4.760	1.100
22	0.12	4.860	1.149
23	0.12	4.940	1.199
24	0.14	5.020	1.249
25	0.16	5.100	1.299
26	0.16	5.200	1.349
27	0.16	5.280	1.399
28	0.18	5.340	1.449
29	0.20	5.460	1.499
30	0.20	5.520	1.550
31	0.22	5.620	1.599
32	0.22	5.700	1.649
33	0.24	5.780	1.699
34	0.24	5.860	1.749
35	0.26	5.960	1.799
36	0.26	6.040	1.849
37	0.28	6.120	1.899
38	0.28	6.180	1.949
39	0.30	6.280	1.999
40	0.30	6.360	2.049
41	0.32	6.460	2.099
42	0.32	6.520	2.150
43	0.32	6.620	2.199
44	0.34	6.700	2.249
45	0.34	6.780	2.299
46	0.36	6.840	2.349
47	0.36	6.940	2.399
48	0.36	7.020	2.449
49	0.38	7.100	2.499
50	0.38	7.180	2.549
51	0.40	7.280	2.599
52	0.40	7.360	2.649
53	0.40	7.460	2.699
54	0.40	7.540	2.749
55	0.42	7.600	2.799
56	0.42	7.680	2.849
57	0.42	7.780	2.899
58	0.44	7.860	2.950
59	0.44	7.940	2.999
60	0.46	8.060	3.050
61	0.46	8.120	3.099
62	0.46	8.200	3.149
63	0.46	8.280	3.199
64	0.48	8.340	3.249
65	0.48	8.440	3.299
66	0.48	8.520	3.349
67	0.50	8.600	3.399
68	0.50	8.700	3.449
69	0.50	8.780	3.499
70	0.50	8.860	3.549
71	0.50	8.940	3.599
72	0.52	9.040	3.649
73	0.52	9.100	3.700
74	0.52	9.180	3.749
75	0.54	9.260	3.799
76	0.54	9.360	3.849
77	0.54	9.440	3.899
78	0.54	9.520	3.949
79	0.54	9.620	3.999
80	0.54	9.700	4.049
81	0.56	9.760	4.100
82	0.56	9.880	4.149
83	0.56	9.940	4.199
84	0.56	10.020	4.249
85	0.56	10.120	4.299
86	0.58	10.200	4.349
87	0.58	10.280	4.399
88	0.58	10.360	4.450
89	0.58	10.460	4.499
90	0.58	10.540	4.549
91	0.58	10.600	4.599
92	0.58	10.680	4.649
93	0.58	10.760	4.699
94	0.60	10.860	4.749
95	0.60	10.940	4.799
96	0.60	11.040	4.849
97	0.60	11.120	4.899
98	0.60	11.200	4.949
99	0.62	11.260	4.999
100	0.62	11.360	5.049
101	0.62	11.440	5.099
102	0.62	11.520	5.149
103	0.62	11.620	5.199
104	0.62	11.700	5.249
105	0.62	11.780	5.300
106	0.62	11.880	5.349
107	0.62	11.960	5.399
108	0.62	12.020	5.449
109	0.62	12.100	5.499
110	0.64	12.200	5.549
111	0.64	12.280	5.599
112	0.64	12.360	5.649
113	0.64	12.440	5.699
114	0.64	12.540	5.749
115	0.64	12.620	5.799
116	0.64	12.680	5.849
117	0.64	12.760	5.899
118	0.64	12.860	5.949
119	0.66	12.940	5.999
120	0.64	13.020	6.049
121	0.66	13.100	6.099
122	0.66	13.200	6.149
123	0.66	13.280	6.199
124	0.64	13.360	6.249
125	0.66	13.460	6.299
126	0.64	13.520	6.349
127	0.64	13.620	6.399
128	0.64	13.700	6.449
129	0.64	13.780	6.499
130	0.66	13.860	6.549
131	0.66	13.960	6.599
132	0.66	14.040	6.649
133	0.66	14.120	6.700
134	0.66	14.180	6.749
