3/5/2025  10:29 AM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
17	0.00	-31.820	0.850
18	0.00	-31.740	0.901
19	0.00	-31.580	0.952
20	0.02	-31.560	1.000
21	0.02	-31.480	1.050
22	0.02	-31.400	1.101
23	0.02	-31.300	1.150
24	0.02	-31.240	1.200
25	0.02	-31.160	1.250
26	0.02	-31.080	1.300
27	0.00	-30.980	1.350
28	0.02	-30.900	1.401
29	0.00	-30.820	1.450
30	0.02	-30.740	1.500
31	0.02	-30.640	1.550
32	0.02	-30.520	1.600
33	0.02	-30.500	1.650
34	0.02	-30.360	1.700
35	0.02	-30.320	1.750
36	0.02	-30.240	1.800
37	0.02	-30.160	1.850
38	0.02	-30.060	1.900
39	0.02	-29.980	1.950
40	0.02	-29.880	2.000
41	0.04	-29.800	2.050
42	0.04	-29.740	2.100
43	0.04	-29.660	2.150
44	0.04	-29.560	2.201
45	0.06	-29.480	2.250
46	0.06	-29.400	2.300
47	0.06	-29.320	2.350
48	0.04	-29.220	2.400
49	0.04	-29.140	2.450
50	0.04	-29.080	2.500
51	0.04	-29.000	2.550
52	0.04	-28.900	2.600
53	0.06	-28.820	2.651
54	0.04	-28.740	2.700
55	0.04	-28.660	2.750
56	0.06	-28.560	2.800
57	0.06	-28.480	2.850
58	0.06	-28.420	2.900
59	0.06	-28.340	2.950
60	0.06	-28.240	3.000
61	0.06	-28.160	3.051
62	0.06	-28.060	3.100
63	0.06	-27.980	3.150
64	0.06	-27.900	3.200
65	0.06	-27.820	3.250
66	0.06	-27.720	3.300
67	0.06	-27.660	3.350
68	0.06	-27.580	3.400
69	0.06	-27.480	3.450
70	0.06	-27.400	3.500
71	0.06	-27.320	3.550
72	0.06	-27.240	3.601
73	0.06	-27.160	3.650
74	0.06	-27.060	3.701
75	0.06	-27.000	3.750
76	0.06	-26.920	3.801
77	0.06	-26.840	3.850
78	0.04	-26.740	3.900
79	0.04	-26.660	3.951
80	0.04	-26.560	4.000
81	0.02	-26.480	4.050
82	0.02	-26.400	4.101
83	0.02	-26.320	4.150
84	0.02	-26.220	4.200
85	0.02	-26.160	4.250
86	0.02	-26.080	4.300
87	0.02	-26.000	4.350
88	0.02	-25.900	4.400
89	0.02	-25.820	4.450
90	0.04	-25.740	4.500
91	0.02	-25.640	4.551
92	0.02	-25.560	4.600
93	0.02	-25.500	4.650
94	0.00	-25.380	4.700
95	0.02	-25.320	4.750
96	0.04	-25.240	4.800
97	0.04	-25.160	4.850
98	0.04	-25.060	4.900
99	0.04	-24.980	4.950
100	0.02	-24.900	5.000
101	0.04	-24.780	5.050
102	0.04	-24.760	5.100
103	0.04	-24.660	5.150
104	0.02	-24.580	5.200
105	0.02	-24.480	5.250
106	0.02	-24.400	5.300
107	0.02	-24.320	5.350
108	0.02	-24.240	5.400
109	0.02	-24.140	5.451
110	0.04	-24.060	5.500
111	0.04	-24.000	5.550
112	0.04	-23.920	5.600
113	0.02	-23.820	5.650
114	0.04	-23.740	5.700
115	0.02	-23.640	5.750
116	0.02	-23.560	5.800
117	0.02	-23.480	5.850
118	0.02	-23.400	5.900
119	0.04	-23.300	5.950
120	0.04	-23.240	6.000
121	0.02	-23.160	6.050
122	0.04	-23.080	6.100
123	0.04	-22.980	6.150
124	0.04	-22.900	6.200
125	0.04	-22.820	6.250
126	0.04	-22.740	6.300
127	0.04	-22.640	6.350
128	0.04	-22.580	6.400
129	0.04	-22.500	6.450
130	0.04	-22.420	6.500
131	0.04	-22.320	6.550
132	0.04	-22.240	6.601
133	0.04	-22.160	6.650
134	0.04	-22.060	6.700
135	0.04	-21.980	6.750
136	0.04	-21.920	6.800
137	0.04	-21.800	6.850
138	0.04	-21.740	6.900
139	0.04	-21.660	6.950
140	0.04	-21.580	7.000
141	0.04	-21.480	7.050
142	0.04	-21.400	7.100
143	0.06	-21.320	7.150
144	0.04	-21.240	7.200
145	0.04	-21.140	7.250
146	0.04	-21.080	7.300
147	0.04	-21.000	7.350
148	0.06	-20.920	7.400
149	0.06	-20.820	7.451
150	0.04	-20.740	7.500
151	0.04	-20.660	7.550
152	0.06	-20.580	7.600
153	0.06	-20.480	7.650
154	0.04	-20.420	7.700
155	0.04	-20.280	7.750
156	0.04	-20.240	7.800
157	0.06	-20.160	7.850
158	0.08	-20.060	7.900
159	0.06	-19.980	7.950
160	0.04	-19.900	8.001
161	0.08	-19.760	8.050
162	0.08	-19.720	8.101
163	0.06	-19.640	8.150
164	0.04	-19.580	8.200
165	0.06	-19.500	8.250
166	0.06	-19.400	8.300
167	0.06	-19.320	8.350
168	0.06	-19.240	8.400
169	0.08	-19.160	8.450
170	0.06	-19.060	8.500
171	0.06	-18.980	8.550
172	0.06	-18.920	8.600
173	0.08	-18.840	8.650
