3/5/2025  10:19 AM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	0.00	0.000	0.000
2	0.00	-0.040	0.149
3	0.00	-0.100	0.199
4	0.00	-0.160	0.249
5	0.00	-0.260	0.299
6	0.02	-0.340	0.349
7	0.02	-0.420	0.399
8	0.04	-0.500	0.449
9	0.04	-0.600	0.499
10	0.06	-0.680	0.549
11	0.06	-0.760	0.599
12	0.06	-0.820	0.649
13	0.06	-0.920	0.699
14	0.08	-1.000	0.749
15	0.10	-1.080	0.799
16	0.12	-1.160	0.849
17	0.12	-1.260	0.899
18	0.12	-1.340	0.950
19	0.12	-1.420	0.999
20	0.12	-1.520	1.049
21	0.12	-1.600	1.099
22	0.14	-1.660	1.149
23	0.14	-1.760	1.199
24	0.14	-1.840	1.249
25	0.18	-1.920	1.300
26	0.18	-2.000	1.349
27	0.20	-2.100	1.399
28	0.20	-2.180	1.449
29	0.18	-2.260	1.499
30	0.18	-2.360	1.549
31	0.18	-2.420	1.599
32	0.18	-2.520	1.649
33	0.20	-2.600	1.700
34	0.20	-2.680	1.749
35	0.22	-2.760	1.799
36	0.24	-2.840	1.849
37	0.26	-2.940	1.899
38	0.26	-3.060	1.949
39	0.26	-3.080	1.999
40	0.24	-3.160	2.049
41	0.24	-3.260	2.099
42	0.22	-3.340	2.149
43	0.22	-3.420	2.199
44	0.24	-3.500	2.249
45	0.26	-3.600	2.299
46	0.28	-3.680	2.349
47	0.32	-3.740	2.399
48	0.32	-3.860	2.449
49	0.30	-3.920	2.499
50	0.30	-4.000	2.549
51	0.28	-4.100	2.599
52	0.28	-4.180	2.649
53	0.28	-4.300	2.699
54	0.28	-4.360	2.749
55	0.28	-4.440	2.799
56	0.28	-4.520	2.849
57	0.28	-4.580	2.899
58	0.28	-4.680	2.949
59	0.30	-4.760	2.999
60	0.32	-4.840	3.049
61	0.34	-4.920	3.099
62	0.36	-5.020	3.149
63	0.36	-5.100	3.200
64	0.36	-5.180	3.250
65	0.36	-5.240	3.299
66	0.34	-5.340	3.349
67	0.34	-5.420	3.399
68	0.32	-5.580	3.499
69	0.32	-5.680	3.549
70	0.34	-5.760	3.599
71	0.34	-5.840	3.649
72	0.40	-5.940	3.699
73	0.42	-6.000	3.749
74	0.42	-6.140	3.799
75	0.42	-6.180	3.849
76	0.40	-6.320	3.899
77	0.38	-6.340	3.949
78	0.38	-6.420	3.999
79	0.36	-6.520	4.049
80	0.36	-6.600	4.099
81	0.36	-6.680	4.149
82	0.36	-6.740	4.199
83	0.36	-6.840	4.250
84	0.36	-6.920	4.299
85	0.36	-7.000	4.349
86	0.38	-7.080	4.399
87	0.40	-7.180	4.449
88	0.44	-7.260	4.499
89	0.46	-7.340	4.549
90	0.46	-7.400	4.599
91	0.44	-7.500	4.649
92	0.42	-7.580	4.699
93	0.42	-7.660	4.749
94	0.42	-7.760	4.799
95	0.42	-7.840	4.849
96	0.40	-7.920	4.899
97	0.40	-8.020	4.949
98	0.40	-8.100	4.999
99	0.40	-8.160	5.049
100	0.40	-8.240	5.099
101	0.40	-8.340	5.149
102	0.40	-8.420	5.199
103	0.46	-8.580	5.251
104	0.46	-8.600	5.299
105	0.48	-8.680	5.349
106	0.52	-8.760	5.399
107	0.52	-8.820	5.449
108	0.50	-8.940	5.499
109	0.48	-9.000	5.549
110	0.46	-9.080	5.599
111	0.46	-9.160	5.649
112	0.46	-9.260	5.699
113	0.44	-9.340	5.749
114	0.44	-9.440	5.799
115	0.44	-9.520	5.850
116	0.44	-9.600	5.899
117	0.44	-9.660	5.949
118	0.44	-9.760	5.999
119	0.44	-9.840	6.049
120	0.44	-9.920	6.099
121	0.44	-10.000	6.149
122	0.44	-10.100	6.199
123	0.44	-10.180	6.249
124	0.44	-10.280	6.299
125	0.46	-10.360	6.349
126	0.48	-10.420	6.399
127	0.48	-10.500	6.449
128	0.50	-10.600	6.499
129	0.52	-10.680	6.549
130	0.52	-10.760	6.599
131	0.54	-10.840	6.649
132	0.54	-10.940	6.699
133	0.54	-11.020	6.749
134	0.52	-11.160	6.849
135	0.52	-11.260	6.899
136	0.50	-11.340	6.949
137	0.50	-11.420	6.999
138	0.50	-11.500	7.049
139	0.48	-11.620	7.099
140	0.48	-11.680	7.149
141	0.48	-11.760	7.199
142	0.48	-11.860	7.249
143	0.48	-11.920	7.299
144	0.48	-12.000	7.349
145	0.48	-12.100	7.399
146	0.48	-12.180	7.449
147	0.48	-12.260	7.499
148	0.46	-12.360	7.549
149	0.48	-12.440	7.599
150	0.46	-12.520	7.649
151	0.48	-12.640	7.699
152	0.48	-12.680	7.750
153	0.48	-12.760	7.799
154	0.48	-12.840	7.849
155	0.48	-12.920	7.899
156	0.48	-13.000	7.949
157	0.48	-13.100	7.999
158	0.48	-13.180	8.049
159	0.50	-13.240	8.099
160	0.60	-13.320	8.149
161	0.76	-13.420	8.199
162	0.90	-13.500	8.249
