3/5/2025  6:43 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	0.00	2.300	0.000
2	0.00	2.300	0.100
3	0.00	2.320	0.150
4	0.00	2.380	0.200
5	0.00	2.480	0.250
6	0.00	2.560	0.300
7	0.00	2.640	0.350
8	0.00	2.700	0.400
9	0.00	2.800	0.450
10	0.00	2.940	0.500
11	0.00	2.960	0.550
12	0.00	3.040	0.600
13	0.00	3.140	0.651
14	0.00	3.220	0.700
15	0.00	3.300	0.750
16	0.00	3.360	0.800
17	0.00	3.460	0.850
18	0.00	3.600	0.900
19	0.00	3.640	0.950
20	0.00	3.720	1.000
21	0.00	3.800	1.050
22	0.00	3.880	1.100
23	0.00	3.980	1.151
24	0.02	4.060	1.200
25	0.02	4.140	1.250
26	0.04	4.240	1.300
27	0.04	4.300	1.350
28	0.06	4.380	1.400
29	0.06	4.460	1.450
30	0.08	4.560	1.500
31	0.08	4.640	1.550
32	0.10	4.720	1.600
33	0.12	4.800	1.650
34	0.12	4.860	1.701
35	0.14	4.960	1.750
36	0.14	5.040	1.800
37	0.16	5.120	1.850
38	0.16	5.240	1.900
39	0.18	5.300	1.950
40	0.18	5.380	2.001
41	0.20	5.480	2.050
42	0.22	5.560	2.100
43	0.22	5.620	2.150
44	0.24	5.700	2.200
45	0.24	5.800	2.250
46	0.24	5.880	2.300
47	0.26	5.980	2.350
48	0.26	6.060	2.400
49	0.28	6.220	2.456
50	0.28	6.240	2.500
51	0.30	6.320	2.550
52	0.30	6.400	2.600
53	0.32	6.460	2.650
54	0.32	6.560	2.700
55	0.34	6.640	2.750
56	0.34	6.720	2.800
57	0.34	6.840	2.851
58	0.36	6.880	2.900
59	0.36	6.980	2.950
60	0.38	7.060	3.000
61	0.38	7.120	3.050
62	0.38	7.220	3.100
63	0.40	7.300	3.150
64	0.40	7.380	3.200
65	0.42	7.460	3.250
66	0.42	7.560	3.300
67	0.42	7.640	3.350
68	0.44	7.720	3.400
69	0.44	7.820	3.450
70	0.44	7.880	3.500
71	0.46	7.960	3.550
72	0.46	8.060	3.600
73	0.46	8.140	3.650
74	0.48	8.220	3.700
75	0.48	8.300	3.750
76	0.48	8.400	3.800
77	0.50	8.480	3.850
78	0.50	8.540	3.900
79	0.50	8.620	3.951
80	0.50	8.720	4.000
81	0.52	8.800	4.050
82	0.52	8.940	4.100
83	0.52	8.960	4.150
84	0.52	9.060	4.200
85	0.54	9.140	4.250
86	0.54	9.220	4.300
87	0.54	9.280	4.350
88	0.56	9.380	4.400
89	0.56	9.460	4.450
90	0.56	9.540	4.500
91	0.56	9.640	4.550
92	0.58	9.760	4.600
93	0.58	9.820	4.650
94	0.58	9.900	4.700
95	0.58	9.980	4.750
96	0.58	10.040	4.800
97	0.60	10.140	4.850
98	0.60	10.220	4.900
99	0.60	10.300	4.950
100	0.60	10.380	5.000
101	0.60	10.460	5.050
102	0.60	10.560	5.100
103	0.60	10.640	5.150
104	0.62	10.700	5.201
105	0.62	10.780	5.250
106	0.62	10.880	5.300
107	0.62	10.960	5.350
108	0.62	11.040	5.400
109	0.62	11.140	5.450
110	0.62	11.220	5.500
111	0.64	11.300	5.550
112	0.64	11.400	5.601
113	0.64	11.480	5.650
114	0.64	11.540	5.700
115	0.64	11.640	5.750
116	0.64	11.720	5.800
117	0.64	11.800	5.850
118	0.64	11.880	5.900
119	0.64	11.980	5.951
120	0.66	12.060	6.000
121	0.66	12.140	6.050
122	0.66	12.240	6.100
123	0.64	12.300	6.150
124	0.64	12.380	6.200
125	0.64	12.480	6.250
126	0.64	12.560	6.300
127	0.66	12.640	6.350
128	0.64	12.720	6.400
129	0.64	12.800	6.450
130	0.64	12.900	6.500
131	0.64	12.960	6.550
132	0.66	13.040	6.600
133	0.66	13.140	6.650
134	0.66	13.220	6.700
135	0.66	13.300	6.750
136	0.64	13.380	6.800
137	0.64	13.480	6.850
138	0.62	13.560	6.900
139	0.64	13.620	6.950
140	0.64	13.740	7.000
141	0.64	13.800	7.050
142	0.64	13.880	7.100
143	0.64	13.980	7.152
144	0.64	14.060	7.200
145	0.64	14.140	7.250
146	0.64	14.240	7.300
147	0.64	14.320	7.350
148	0.64	14.400	7.400
149	0.64	14.460	7.450
150	0.64	14.560	7.500
151	0.66	14.640	7.550
152	0.66	14.720	7.600
153	0.66	14.840	7.650
154	0.66	14.900	7.700
155	0.66	14.980	7.750
156	0.66	15.060	7.800
157	0.66	15.120	7.850
158	0.66	15.220	7.900
159	0.64	15.300	7.950
160	0.64	15.380	8.000
161	0.64	15.480	8.050
162	0.64	15.560	8.100
163	0.64	15.640	8.150
164	0.64	15.740	8.200
165	0.64	15.820	8.250
166	0.64	15.900	8.300
167	0.64	15.960	8.350
168	0.64	16.100	8.401
169	0.64	16.140	8.450
170	0.64	16.220	8.500
171	0.66	16.300	8.550
172	0.66	16.400	8.600
173	0.68	16.480	8.650
174	0.66	16.560	8.700
175	0.66	16.620	8.750
176	0.66	16.720	8.801
177	0.64	16.800	8.850
178	0.64	16.880	8.900
179	0.64	16.960	8.951
180	0.64	17.060	9.000
181	0.64	17.140	9.050
182	0.62	17.220	9.100
183	0.62	17.320	9.150
184	0.62	17.380	9.200
185	0.60	17.460	9.250
186	0.60	17.560	9.300
187	0.58	17.640	9.350
188	0.52	17.720	9.400
189	0.50	17.820	9.450
190	0.50	17.900	9.500
191	0.50	17.980	9.550
192	0.52	18.080	9.600
193	0.52	18.160	9.651
194	0.54	18.220	9.700
195	0.54	18.300	9.750
196	0.56	18.380	9.800
197	0.56	18.480	9.850
198	0.56	18.560	9.900
199	0.54	18.640	9.950
200	0.54	18.700	10.000
201	0.54	18.780	10.050
202	0.54	18.880	10.100
203	0.52	18.980	10.151
204	0.52	19.060	10.200
205	0.50	19.140	10.250
206	0.50	19.220	10.300
207	0.50	19.320	10.350
208	0.50	19.400	10.400
209	0.48	19.480	10.450
210	0.48	19.540	10.500
211	0.48	19.640	10.550
212	0.48	19.800	10.606
213	0.48	19.820	10.650
214	0.48	19.900	10.701
215	0.48	19.980	10.750
216	0.48	20.060	10.800
217	0.48	20.160	10.850
218	0.48	20.240	10.900
219	0.48	20.300	10.950
220	0.48	20.380	11.000
221	0.46	20.480	11.050
222	0.48	20.560	11.100
223	0.46	20.640	11.150
224	0.48	20.720	11.200
225	0.46	20.800	11.250
226	0.46	20.900	11.300
227	0.46	20.980	11.350
228	0.46	21.040	11.400
229	0.46	21.140	11.450
230	0.44	21.220	11.500
231	0.44	21.300	11.550
232	0.44	21.380	11.600
233	0.42	21.480	11.650
234	0.42	21.560	11.700
235	0.42	21.640	11.751
236	0.42	21.740	11.800
237	0.40	21.800	11.850
238	0.40	21.880	11.900
239	0.40	21.980	11.950
240	0.38	22.060	12.000
241	0.38	22.140	12.050
242	0.38	22.220	12.100
243	0.36	22.320	12.150
244	0.36	22.400	12.200
245	0.36	22.460	12.250
