3/5/2025  6:41 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	0.00	0.000	0.000
2	0.00	0.040	0.149
3	0.00	0.120	0.199
4	0.00	0.200	0.249
5	0.00	0.260	0.299
6	0.00	0.340	0.349
7	0.00	0.420	0.399
8	0.00	0.520	0.449
9	0.00	0.600	0.499
10	0.00	0.680	0.549
11	0.00	0.760	0.600
12	0.00	0.860	0.649
13	0.00	0.920	0.699
14	0.00	1.000	0.749
15	0.00	1.100	0.799
16	0.00	1.180	0.849
17	0.00	1.260	0.899
18	0.00	1.340	0.949
19	0.00	1.440	0.999
20	0.00	1.520	1.049
21	0.00	1.620	1.099
22	0.00	1.700	1.149
23	0.00	1.820	1.199
24	0.00	1.840	1.249
25	0.00	1.940	1.299
26	0.00	2.020	1.349
27	0.00	2.100	1.399
28	0.00	2.200	1.449
29	0.00	2.280	1.499
30	0.00	2.360	1.549
31	0.00	2.420	1.599
32	0.00	2.520	1.649
33	0.00	2.600	1.699
34	0.00	2.680	1.749
35	0.00	2.880	1.849
36	0.00	2.940	1.899
37	0.00	3.020	1.949
38	0.00	3.080	1.999
39	0.00	3.160	2.049
40	0.00	3.260	2.099
41	0.02	3.340	2.149
42	0.02	3.440	2.199
43	0.04	3.520	2.249
44	0.04	3.600	2.299
45	0.06	3.700	2.349
46	0.08	3.780	2.399
47	0.10	3.860	2.449
48	0.12	4.000	2.499
49	0.12	4.020	2.549
50	0.14	4.100	2.599
51	0.14	4.180	2.649
52	0.14	4.260	2.700
53	0.16	4.360	2.749
54	0.18	4.440	2.799
55	0.18	4.520	2.849
56	0.20	4.580	2.899
57	0.20	4.680	2.949
58	0.22	4.760	2.999
59	0.24	4.840	3.049
60	0.24	4.940	3.099
61	0.26	5.060	3.149
62	0.26	5.100	3.199
63	0.28	5.200	3.249
64	0.28	5.280	3.299
65	0.30	5.340	3.350
66	0.30	5.420	3.399
67	0.32	5.580	3.449
68	0.32	5.600	3.499
69	0.34	5.680	3.549
70	0.34	5.760	3.599
71	0.36	5.860	3.649
72	0.36	5.940	3.699
73	0.38	6.040	3.749
74	0.38	6.120	3.799
75	0.38	6.180	3.849
76	0.40	6.260	3.899
77	0.40	6.340	3.949
78	0.42	6.440	3.999
79	0.42	6.520	4.049
80	0.44	6.620	4.099
81	0.44	6.680	4.149
82	0.46	6.780	4.199
83	0.46	6.840	4.249
84	0.46	6.920	4.299
85	0.46	7.020	4.349
86	0.48	7.100	4.399
87	0.48	7.180	4.450
88	0.50	7.280	4.499
89	0.50	7.360	4.549
90	0.50	7.440	4.599
91	0.52	7.500	4.649
92	0.52	7.600	4.699
93	0.54	7.680	4.749
94	0.54	7.760	4.799
95	0.54	7.860	4.849
96	0.54	7.940	4.899
97	0.56	8.020	4.949
98	0.56	8.120	4.999
99	0.58	8.200	5.049
100	0.58	8.280	5.099
101	0.58	8.340	5.149
102	0.58	8.440	5.199
103	0.60	8.520	5.249
104	0.60	8.600	5.299
105	0.60	8.680	5.349
106	0.62	8.780	5.399
107	0.62	8.860	5.449
108	0.62	8.940	5.499
109	0.62	9.000	5.549
110	0.64	9.100	5.599
111	0.64	9.180	5.649
112	0.64	9.260	5.699
113	0.64	9.340	5.749
114	0.64	9.440	5.799
115	0.64	9.520	5.849
116	0.66	9.620	5.900
117	0.66	9.700	5.950
118	0.66	9.760	5.999
119	0.66	9.840	6.049
120	0.68	9.940	6.099
121	0.68	10.020	6.149
122	0.68	10.100	6.199
123	0.68	10.180	6.249
124	0.68	10.280	6.299
125	0.68	10.360	6.349
126	0.70	10.420	6.399
127	0.70	10.500	6.449
128	0.70	10.600	6.499
129	0.70	10.680	6.549
130	0.70	10.760	6.599
131	0.70	10.840	6.649
132	0.70	10.940	6.699
133	0.70	11.020	6.749
134	0.72	11.080	6.799
135	0.72	11.200	6.849
136	0.72	11.260	6.899
137	0.72	11.340	6.949
138	0.72	11.440	6.999
139	0.72	11.520	7.050
140	0.72	11.600	7.099
141	0.72	11.780	7.199
142	0.72	11.860	7.249
143	0.74	12.020	7.349
144	0.74	12.100	7.399
145	0.72	12.180	7.449
146	0.74	12.260	7.499
147	0.74	12.360	7.549
148	0.74	12.440	7.599
