3/5/2025  6:56 PM
Units: N
Readings: Continuous
X-Axis: Travel
Travel Unit: mm
Reading	Load	Travel	Time
1	0.08	51.620	0.000
2	-0.06	51.520	0.149
3	-0.08	51.460	0.199
4	-0.06	51.380	0.249
5	-0.06	51.280	0.299
6	-0.08	51.100	0.399
7	-0.08	51.020	0.450
8	-0.08	50.900	0.499
9	-0.08	50.860	0.549
10	-0.08	50.780	0.599
11	-0.08	50.680	0.649
12	-0.08	50.620	0.699
13	-0.08	50.540	0.749
14	-0.10	50.460	0.799
15	-0.08	50.380	0.849
16	-0.08	50.280	0.899
17	-0.10	50.200	0.949
18	-0.12	50.120	0.999
19	-0.06	50.020	1.049
20	0.00	49.960	1.099
21	-0.04	49.880	1.149
22	-0.08	49.800	1.199
23	-0.08	49.700	1.249
24	-0.08	49.620	1.299
25	-0.08	49.540	1.349
26	-0.06	49.440	1.399
27	-0.06	49.360	1.449
28	-0.06	49.260	1.499
29	-0.02	49.180	1.549
30	-0.02	49.120	1.599
31	-0.02	49.040	1.649
32	-0.04	48.940	1.699
33	-0.02	48.860	1.749
34	-0.04	48.780	1.799
35	-0.06	48.700	1.849
36	-0.08	48.600	1.899
37	-0.06	48.520	1.949
38	-0.08	48.460	2.000
39	-0.08	48.380	2.049
40	-0.10	48.280	2.099
41	-0.10	48.200	2.149
42	-0.14	48.120	2.199
43	-0.12	48.040	2.249
44	-0.08	47.920	2.299
45	-0.10	47.860	2.349
46	-0.12	47.800	2.400
47	-0.10	47.700	2.449
48	-0.10	47.620	2.499
49	-0.10	47.540	2.549
50	-0.10	47.440	2.599
51	-0.10	47.360	2.649
52	-0.10	47.280	2.699
53	-0.10	47.200	2.749
54	-0.12	47.100	2.799
55	-0.12	47.040	2.849
56	-0.12	46.960	2.899
57	-0.12	46.880	2.950
58	-0.14	46.780	2.999
59	-0.14	46.700	3.049
60	-0.14	46.620	3.099
61	-0.14	46.540	3.149
62	-0.14	46.440	3.199
63	-0.14	46.380	3.249
64	-0.14	46.300	3.299
65	-0.14	46.220	3.349
66	-0.14	46.120	3.399
67	-0.14	46.040	3.449
68	-0.14	45.960	3.499
69	-0.16	45.880	3.550
70	-0.18	45.780	3.599
71	-0.18	45.700	3.649
72	-0.18	45.600	3.699
73	-0.18	45.540	3.749
74	-0.18	45.460	3.799
75	-0.18	45.380	3.849
76	-0.18	45.280	3.899
77	-0.18	45.200	3.949
78	-0.18	45.120	4.000
79	-0.20	45.020	4.049
80	-0.20	44.940	4.099
81	-0.20	44.880	4.149
82	-0.20	44.800	4.199
83	-0.20	44.700	4.250
84	-0.20	44.620	4.299
85	-0.18	44.540	4.349
86	-0.18	44.460	4.399
87	-0.18	44.360	4.449
88	-0.16	44.280	4.499
89	-0.16	44.220	4.549
90	-0.14	44.100	4.599
91	-0.10	44.040	4.650
92	-0.10	43.960	4.699
93	-0.12	43.880	4.749
94	-0.12	43.780	4.799
95	-0.14	43.700	4.849
96	-0.14	43.620	4.899
97	-0.16	43.520	4.949
98	-0.16	43.380	5.003
99	-0.16	43.340	5.049
100	-0.16	43.280	5.099
101	-0.16	43.200	5.149
102	-0.16	43.120	5.199
103	-0.16	43.020	5.249
104	-0.16	42.940	5.299
105	-0.16	42.860	5.349
106	-0.16	42.780	5.399
107	-0.16	42.680	5.449
108	-0.14	42.620	5.499
109	-0.16	42.540	5.549
110	-0.16	42.460	5.599
111	-0.16	42.360	5.649
112	-0.16	42.280	5.699
113	-0.16	42.200	5.749
114	-0.16	42.120	5.799
115	-0.16	42.020	5.849
116	-0.16	41.960	5.899
117	-0.14	41.880	5.949
118	-0.16	41.700	6.007
119	-0.16	41.700	6.049
120	-0.16	41.620	6.099
121	-0.16	41.520	6.149
122	-0.16	41.440	6.199
123	-0.16	41.360	6.249
124	-0.16	41.260	6.299
125	-0.16	41.180	6.349
126	-0.16	41.120	6.399
127	-0.16	41.040	6.449
128	-0.16	40.940	6.499
129	-0.16	40.860	6.549
130	-0.16	40.780	6.600
131	-0.16	40.700	6.649
132	-0.16	40.620	6.700
133	-0.16	40.520	6.749
134	-0.16	40.460	6.799
135	-0.18	40.380	6.849
136	-0.16	40.300	6.899
137	-0.16	40.200	6.949
138	-0.18	40.120	6.999
139	-0.18	40.040	7.049
140	-0.20	39.960	7.099
141	-0.20	39.860	7.149
142	-0.22	39.740	7.199
143	-0.22	39.700	7.249
144	-0.22	39.620	7.299
145	-0.22	39.540	7.349
146	-0.20	39.440	7.399
147	-0.20	39.360	7.449
148	-0.20	39.280	7.499
149	-0.20	39.200	7.549
150	-0.22	39.100	7.599
151	-0.22	39.020	7.649
152	-0.22	38.960	7.699
153	-0.20	38.880	7.749
154	-0.18	38.780	7.799
155	-0.18	38.700	7.849
156	-0.16	38.620	7.899
157	-0.16	38.540	7.949
158	-0.16	38.440	7.999
159	-0.16	38.360	8.049
160	-0.18	38.300	8.099
161	-0.20	38.220	8.149
162	-0.20	38.120	8.200
163	-0.20	38.040	8.249
164	-0.20	37.960	8.299
165	-0.20	37.860	8.349
166	-0.20	37.780	8.399
167	-0.20	37.700	8.450
168	-0.20	37.600	8.499
169	-0.20	37.540	8.549
170	-0.20	37.460	8.599
171	-0.20	37.380	8.649
172	-0.20	37.280	8.699
173	-0.20	37.200	8.749
174	-0.20	37.100	8.799
175	-0.20	37.020	8.849
176	-0.20	36.940	8.899
177	-0.20	36.840	8.950
178	-0.20	36.760	8.999
179	-0.20	36.700	9.049
180	-0.20	36.620	9.099
181	-0.20	36.540	9.149
182	-0.20	36.460	9.199
183	-0.20	36.360	9.249
184	-0.20	36.280	9.299
185	-0.20	36.180	9.349
186	-0.20	36.100	9.400
187	-0.20	36.040	9.449
188	-0.20	35.960	9.499
189	-0.20	35.860	9.550
190	-0.20	35.780	9.599
191	-0.20	35.700	9.649
192	-0.20	35.620	9.700
193	-0.20	35.520	9.749
194	-0.20	35.440	9.799
195	-0.22	35.380	9.849
196	-0.22	35.280	9.899
197	-0.22	35.200	9.949
198	-0.22	35.120	9.999
199	-0.22	35.020	10.049
200	-0.24	34.940	10.099
201	-0.24	34.860	10.149
202	-0.22	34.780	10.199
203	-0.22	34.680	10.249
204	-0.22	34.620	10.299
205	-0.22	34.540	10.349
206	-0.22	34.460	10.399
207	-0.22	34.360	10.449
208	-0.22	34.280	10.499
209	-0.22	34.200	10.549
210	-0.22	34.120	10.599
211	-0.22	34.020	10.649
212	-0.22	33.940	10.699
213	-0.24	33.880	10.749
214	-0.24	33.800	10.799
215	-0.24	33.700	10.849
216	-0.24	33.620	10.899
217	-0.24	33.520	10.949
218	-0.24	33.440	10.999
219	-0.24	33.360	11.049
220	-0.24	33.280	11.099
221	-0.22	33.180	11.149
222	-0.24	33.120	11.199
223	-0.24	33.040	11.249
224	-0.24	32.960	11.299
225	-0.24	32.860	11.349
226	-0.24	32.780	11.399
227	-0.24	32.700	11.449
228	-0.24	32.620	11.499
229	-0.20	32.520	11.549
230	-0.22	32.460	11.599
231	-0.26	32.380	11.649
232	-0.24	32.300	11.699
233	-0.24	32.200	11.749
234	-0.24	32.080	11.799
235	-0.24	32.040	11.849
236	-0.24	31.960	11.900
237	-0.24	31.860	11.949
238	-0.24	31.740	11.999
239	-0.24	31.680	12.049
240	-0.24	31.620	12.099
241	-0.24	31.540	12.149
242	-0.24	31.440	12.199
243	-0.24	31.360	12.249
244	-0.26	31.280	12.299
245	-0.24	31.160	12.350
246	-0.24	31.100	12.399
247	-0.24	31.020	12.449
248	-0.24	30.960	12.500
249	-0.24	30.880	12.549
250	-0.24	30.780	12.599
251	-0.24	30.700	12.649
252	-0.24	30.620	12.699
253	-0.24	30.540	12.749
254	-0.24	30.460	12.800
255	-0.26	30.320	12.849
256	-0.26	30.300	12.899
257	-0.30	30.160	12.949
258	-0.30	30.120	12.999
259	-0.28	30.040	13.049
260	-0.28	29.960	13.099
